artikelnummer;produkt;jahrgang;beschreibung;qualitaet;geschmacksrichtung;0,5l;0,75l;1,00 l;preis_liter;alkohol;fruchtsaeure;restsuesse;trinktemperatur;speisen
101;"""Amorettsche"" Portugieser Weißherbst";2011;Verführt zu mehr! Ein frischer Sommerwein, der Sie auch im Winter noch an frische Erdbeeren erinnert;Deutscher Qualitätswein;feinherb;;5,80 €;;7,73 €;10,00;4,30;19,20;7°C - 11°C;Dieser wunderbare Weißherbst flirtet gerne mit gegrillten Scampis, Hähnchenbrust und Sommersalaten. Strahlt mit dem Sonnenuntergang um die Wette!
102;"""Herzensbrescher"" Cuvée Rot";2010;Voll Määnzer Scharm! Ein kraftvolles Potpourri von roten Beeren.;Deutscher Qualitätswein;feinherb;;6,50 €;;8,67 €;11,50;5,50;17,70;12°C - 13°C;"Ob am flackernden Kaminfeuer oder beim Picknick am Rhein - dieser unkomplizierte Rote macht immer eine gute Figur. Der ""Herzensbrescher"" passt hervorragend zu ""Rhoihessischen Tapas"", Bergkäse und begleitet schokoladige Desserts galant auf die Hüften. "
103;"""Teschdelmeschdel"" Cuvée Rot";2009;"Zwei Welten perfekt aufeinander abgestimmt: Kräftig und doch von
feiner Süße.";"Deutscher
Qualitätswein";süß;;6,50 €;;8,67 €;9,00;5,80;69,10;12°C - 13°C;"Leicht gekühlt ein Genuss zu kräftigen und pikanten Fleischgerichten. Wir Michels lieben das ""Teschdelmeschdel"" besonders zum ""Kerschemischel mit Vanillesoos"".   "
104;"""Könischin der Nacht"" Merlot";2011;"Ein feiner Duft nach Pflaumen und Brombeeren - diesen edlen
Wein erkennen Sie mit geschlossenen Augen.";"Deutscher
Qualitätswein";trocken;;6,80 €;;9,07 €;13,00;5,20;2,40;12°C - 13°C;"Ob in der großen Runde oder zu zweit bei Kerzenschein - ein Glas Merlot passt immer! Unsere ""Könischin der Nacht"" krönt Wildpasteten, Lamm- und Schmorgerichte."
105;"""Herzbluud"" Dornfelder";2011;"Duftet nach reifen Schwarzkirschen, umschmeichelt die Nase und
zeigt ein dunkles Rubinrot im Glas.";"Deutscher
Qualitätswein";trocken;;6,00 €;;8,00 €;12,50;5,40;3,00;14°C - 16°C;Farbe, Frucht und Wärme! Dornfelder ist, wie andere kräftige Rotweine, ideal für die kühlere Jahreszeit. Er passt zu deftigen Braten, Wild oder Käse.  
106;"""Herzbluud"" Cuvée Rot";2011;"Jede Rebsorte bringt ihren eigenen Charakter mit: Farbe, Volumen
und Gerbstoffe. ";"Deutscher
Qualitätswein";trocken;;6,50 €;;8,67 €;12,50;4,70;3,40;14°C - 16°C;"Eindrucksvoll ist sein starker Duft, der Sie schon beim Öffnen der Flasche in den Bann zieht. Eine Cuvée mit vielen Facetten. Ein idealer Begleiter zum ""foine Sunndaagsesse"" oder zur Grillparty im ""rhoihessische"" Hügelland."
107;"""Altstadtadel"" Cuvée Cabernet Mitos/Dornfelder";2007;"Die komplexen Fruchtaromen vermählen sich im Barriquefass
mit feinen Röst- und Vanillenoten.";"Deutscher
Qualitätswein";trocken;;16,50 €;;22,00 €;12,00;6,00;2,50;15°C - !8°C;"""Aache zu unn genieße!"" Ein Wein voller Wärme, Struktur und Tiefe. Unser ""Altstadtadel"" geht eine standesgemäße Liason mit Ente, Gans, Wild und sogar Bücherwürmern"" ein.   "
201;"""Schnudedunker"" Winzerschoppen";;"Unser Schoppenwein: spritzig und erfrischend -
unkompliziert und doch mit Pepp.";"Deutscher
Qualitätswein";trocken;;;3,80 €;;12,50;6,80;1,80;8°C - 11°C;Diese frisch-fruchtige Cuvée passt zum sommerlichen Treffen auf der Terrasse mit guten Freunden und Sonnenbrille!  
202;"""Michel Angelo"" Cuvée Weiß";2011;Würziges Frucht-Säure-Spiel.;"Deutscher
Qualitätswein";halbtrocken;;6,00 €;;8,00 €;12,50;4,80;8,10;8°C - 11°C;Unser Gute-Laune-Wein! Michel Angelo ist ein Gesamtkunstwerk aus knackig-frischem Apfel, feinen Zitrusaromen und angenehmer Säure. Exzellent zu fuchtigen Sommersalaten, Meeresfrüchten oder gegrilltem Seefisch.
203;"""Owwermaschores"" Riesling";2012;"Diese klassische Rebsorte mit ihrem ausdrucksstarken
Apfelaroma gehört zu jedem feinen Essen.";"Deutscher
Qualitätswein";trocken;;6,00 €;;8,00 €;12,50;8,40;2,50;8°C - 11°C;"Riesling - der große Klassiker. Der ""Owwermaschores"" gibt gerne den Ton an: Bei spontanen Sommersnacks oder edlen Menüs - er überzeugt durch Aromenvielfalt und knackige Säure."
204;"""Rhoihessisch Urgestaa"" 
Grüner Silvaner";2011;"Kräftig und vielschichtig - wie der Boden, auf dem er steht.
Der Alleskönner Rheinhessens.";"Deutscher
Qualitätswein";trocken;;6,00 €;;8,00 €;12,00;4,80;4,10;8°C - 11°C;"""Mit dem Lebe verworzelt!"" Ein bodenständiger Begleiter zur herzhaften ""rhoihessischen"" Küche. In unserem Weinhaus empfehlen wir das ""Urgestaa"" zu Spargelgerichten, Kräuterpfannkuchen mit Pilzen und Dibbekuche mit Apfelmus."
205;"""Määnzer Hotvollée""
Weißer Burgunder";2012;Ein charmanter Begleiter vieler Speisen und Gelegenheiten.;Deutscher Prädikatswein;trocken;;6,50 €;;8,67 €;12,50;6,80;5,00;8°C - 11°C;"Für das Date, die Party oder selbst für das Treffen mit den Schwiegereltern ist dies der richtige Wein. Spätestens mit unserer ""Hotvollée"" hat man auch die Schwiegermutter auf seiner Seite. Ein toller Wein zum Fisch, zur Geflügelleberterrine oder zum Ziegenkäse. "
206;"""Määnzer Mädsche"" Schönburger Spätlese
";2010;"Diese regionale Rarität mit ihrem blumigen Aroma ist wie eine
zeitlos schöne Frau.";Deutscher Prädikatswein;süß;;6,50 €;;8,67 €;9,00;6,30;57,30;10°C - 13°C;Für alle, die sich gerne in Staunen versetzen lassen - was für ein Duft! Der schmeichelnde Geruch nach Rosen und Muskat, wird nur noch übertroffen vom saftigen und vollen Geschmack, getragen von einer feinen Säure. Ein Traum dazu: Michels Grießklößchen in Weinschaum ... 
207;"""Goldisch Drobbe"" Rivaner Kabinett";2011;Leicht, süffig - Grüß Gott Herr Müller! ;Deutscher Prädikatswein;trocken;;5,50 €;;7,33 €;12,00;6,10;5,00;8°C - 11°C;Zurück zu den Wurzeln! Der Rivaner (geborener Müller-Thurgau) ist ein hervorragender Vesperwein. Er ist geschmacklich leicht zugänglich und liebt die Hausmacher Wurstplatte, den Finther Spargel und herzhafte Kartoffelgerichte.
208;"""Goldisch Drobbe"" Scheurebe Kabinett";2011;Hier duften feine Johannisbeeraromen.;Deutscher Prädikatswein;trocken;;6,00 €;;8,00 €;11,00;11,00;8,00;8°C - 11°C;"""Kää Scheu vor Scheu …!"" Zu Garnelen, Muscheln, Scampi & Co. passt diese knackig-frische Scheurebe. Gut gekühlt ist er ein toller Sommerwein zum Feiern. "
209;"""Goldisch Drobbe"" Schreurebe Kabinett";2010;Ein idealer Begleiter der asiatischen Küche.;Deutscher Prädikatswein;süß;;6,00 €;;8,00 €;9,00;9,30;62,20;10°C - 13°C;Für die Wellness-Fraktion unter den Genießern! Ein aromatisch duftender Klassiker, der mit der exotischen Asia-Küche gerne eine spannende Liaison eingeht. Köstlich zu aromatisch-würzigen Ragouts von Fisch und Geflügel.
210;"""Goldisch Drobbe"" Blanc de Noir Spätburgunder Spätlese";2011;"Spätburgunder Spätlese, Weiß gekeltert,
richt nach Veilchen und Wald";Deutscher Prädikatswein;trocken;;6,80 €;;9,07 €;12,00;8,50;0,80;8°C - 11°C;Autopacken und ab an den Garda-See!!! Der Blanc de Noir gehört ganz oben in die Kühltasche. Ein leichter Sommerwein mit einem facettenreichen Aromaspiel. Gut gekühlt passt er zu Meeresfrüchten, gegrilltem Fisch und mediterranen Salaten.
211;"""Goldisch Drobbe"" Grauer Burgunder Spätlese";2011;Körperreich mit feinen Aromen von Walnuss und Quitte.;Deutscher Prädikatswein;trocken;;6,50 €;;8,67 €;11,50;6,10;7,00;8°C - 11°C;"""Do is Sunneschoi drin! ""Michels Grauburgunder harmoniert gut mit Meeresfrüchten, kräftigem Seefisch, Pasta, Lamm, Wildgeflügel sowie reifem Weichkäse. "
212;"""Goldisch Drobbe"" Riesling Spätlese";2011;Duftet nach knackig-frischen Äpfeln.;Deutscher Prädikatswein;feinherb;;6,50 €;;8,67 €;10,00;8,20;24,80;8°C - 11°C;"Fest der Aromen! Der Riesling gilt als König der deutschen Trauben; zu Recht, denn er verbindet üppige Fruchtfülle mit einer majestetischen Eleganz. Begleitet mit seiner feinen Süße-Säure-Balance gerne Kalbsbraten, Risottogerichte und überbackenen Ziegenkäse.  "
213;"""Goldisch Drobbe"" Kerner Spätlese";2012;Pikantes Süße-Säure-Spiel, Fruchtgenuss pur.;Deutscher Prädikatswein;lieblich;;6,50 €;;8,67 €;12,00;5,60;38,70;10°C - 13°C;Sie meinen, süß und gleichzeitig erfrischend geht nicht? Probieren Sie unsere Kerner Spälese mit ungewöhnlich frischen Zitrus und Apfelaromen abgerundet mit eleganter Süße. Großartig zur orientalisch-inspirierten Küche!
214;Schreurebe Eiswein;;;;;;;;;;;;;
301;"""Frische Früschdscher""
Traubensaft Scheurebe weiß";;Unser Energiespender für Jung und Alt.;;;;;3,50 €;;;;;;Michels Energiespender! Schon die alten Römer wussten den aromatischen Geschmack und die heisamen Nebeneffekte des Traubensafts zu schätzen. 
302;"""Frische Früschdscher""
Traubensaft rot";;Alkoholfreier Drink für Autofahrer.;;;;;3,50 €;;;;;;
303;"""Ritzamboo"" Perlwein";;Ein Perlwein -  fruchtig und frisch. Do rieft mer Helau, ob mer's will odder net!;Deutscher Perlwein;;;8,50 €;;11,33 €;?;;;8°C - 11°C;"""… der mit de klaane Perlscher ..."" Da geht sie ab, die Sommerparty! Dieser leichte Perlwein verbindet entspannte Perlen mit wunderbarer Frucht."
304;Riesling-Sekt;;"Ausgeprägte Pfirsicharomen; beflügelndes Lebenselixier.";;extra trocken;;11,50 €;;15,33 €;;;;;Meister des prickelnden Vergnügens! Dieser feinperlige Risling-Sekt ist pikant und finessenreich in der Frucht. 
305;;;;;;;;;;;;;;
501;"""Hildegard"" weinhaltiges Getränk";;Ein aromatisiertes, weinhaltiges Getränk mit Kräutern.;;;12,50 €;;;25,00 €;;;;;"Ein außergewöhnliches Geschmackserlebnis! Genießen Sie ""Hildegard"" im Sommer gut gekühlt als Aperitif oder im Winter heiß (maximal 60°C). "
;;;;;;;;;;;;;;
